address;lon;lat;CnpjBase;CnpjSequencial;CnpjDv;NomeIf;Segmento;CodigoCompe;NomeAgencia;Endereco;Numero;Complemento;Bairro;Cep;MunicipioIbge;Municipio;UF;DataInicio;DDD;Telefone;Posicao;endereco_completo
Avenida Professor Francisco Morato, Butantã, São Paulo, 05512-100;-46.71229551417895;-23.581824428200857;360305;1221;37;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;1221.0;BUTANTA, SP;AVENIDA PROFESSOR FRANCISCO MORATO;;NUM 3381/3389;BUTANTA;05512-100;3550308;SAO PAULO;SP;28/08/1981;11.0;35038450.0;28/12/2021;AVENIDA PROFESSOR FRANCISCO MORATO, , BUTANTA, 05512-100, SAO PAULO
Avenida Gustavo Adolfo 2915, Vila Medeiros, São Paulo, 02209-001;-46.574371245821034;-23.49292043071056;360305;4105;15;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;4105.0;VILA SABRINA, SP;AVENIDA GUSTAVO ADOLFO, NUM 2915/2917;;;VILA SABRINA;02209-001;3550308;SAO PAULO;SP;18/05/1999;11.0;35038950.0;28/12/2021;AVENIDA GUSTAVO ADOLFO, NUM 2915/2917, , VILA SABRINA, 02209-001, SAO PAULO
Rua Juvêncio de Araújo Figueiredo, Perus, São Paulo, 05204-140;-46.75455967247396;-23.40801150485786;360305;4126;40;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;4126.0;PERUS, SP;RUA JUVENCIO DE ARAUJO FIGUEIREDO;;NUM 633, A 651;VILA PERUS;05204-140;3550308;SAO PAULO;SP;18/05/1999;11.0;35218100.0;28/12/2021;RUA JUVENCIO DE ARAUJO FIGUEIREDO, , VILA PERUS, 05204-140, SAO PAULO
Rua Tibúrcio de Sousa 190, Itaim Paulista, São Paulo, 08140-000;-46.39942002780708;-23.49968998855897;360305;4136;11;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;4136.0;TIBURCIO DE SOUZA, SP;ESTRADA TIBURCIO DE SOUSA, NUM 190;;;ITAIM PAULISTA;08140-000;3550308;SAO PAULO;SP;18/05/1999;11.0;69578511.0;28/12/2021;ESTRADA TIBURCIO DE SOUSA, NUM 190, , ITAIM PAULISTA, 08140-000, SAO PAULO
Praça Charles Miller, Consolação, São Paulo, 01234-010;-46.665332781876714;-23.545376571757494;360305;4141;89;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;4141.0;PACAEMBU, SP;PRACA CHARLES MILLER, NUM 16;;;PACAEMBU;01234-010;3550308;SAO PAULO;SP;18/05/1999;11.0;34756401.0;28/12/2021;PRACA CHARLES MILLER, NUM 16, , PACAEMBU, 01234-010, SAO PAULO
Estrada de Itapecerica 8629, Capão Redondo, São Paulo, 05858-003;-46.79747996237012;-23.6835800175013;360305;4533;20;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;4533.0;VALO VELHO, SP;ESTRADA DE ITAPECERICA, NUM 8629;;LOTE 28 E 29 - QUADRA A;CAPAO REDONDO;05858-003;3550308;SAO PAULO;SP;25/10/2012;11.0;58222402.0;28/12/2021;ESTRADA DE ITAPECERICA, NUM 8629, , CAPAO REDONDO, 05858-003, SAO PAULO
Avenida Yervant Kissajikian 2474, Cidade Ademar, São Paulo, 04428-000;-46.657630003363664;-23.678209983593888;360305;4557;5;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;4557.0;VILA JOANIZA, SP;AVENIDA YERVANT KISSAJIKIAN, NUM 2474;;;VILA JOANIZA;04428-000;3550308;SAO PAULO;SP;20/12/2012;11.0;56245040.0;28/12/2021;AVENIDA YERVANT KISSAJIKIAN, NUM 2474, , VILA JOANIZA, 04428-000, SAO PAULO
Avenida Luís Dumont Villares 1160, Tucuruvi, São Paulo, 02085-100;-46.61105998168284;-23.49244001949785;360305;5013;16;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;538.0;PARADA INGLESA, SP;AVENIDA LUIZ DUMONT VILLARES, NUM 1160;;;JARDIM SAO PAULO(ZONA LESTE);02085-100;3550308;SAO PAULO;SP;25/02/2013;11.0;29717750.0;28/12/2021;AVENIDA LUIZ DUMONT VILLARES, NUM 1160, , JARDIM SAO PAULO(ZONA LESTE), 02085-100, SAO PAULO
Avenida Deputado Emílio Carlos 2088, Limão, São Paulo, 02720-200;-46.67549996947659;-23.489060017042362;360305;5022;7;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;230.0;VILA ESPANHOLA, SP;AVENIDA DEPUTADO EMILIO CARLOS, NUM 2088;;;LIMAO;02720-200;3550308;SAO PAULO;SP;27/12/2012;11.0;38552750.0;28/12/2021;AVENIDA DEPUTADO EMILIO CARLOS, NUM 2088, , LIMAO, 02720-200, SAO PAULO
Avenida do Rio Bonito 2005, Socorro, São Paulo, 04776-003;-46.701440031966854;-23.69008001577579;360305;5047;65;CAIXA ECONOMICA FEDERAL;Caixa Econômica Federal;1967.0;VILA FRIBURGO, SP;AVENIDA DO RIO BONITO, NUM 2005;;;SOCORRO;04776-003;3550308;SAO PAULO;SP;30/10/2013;11.0;21395700.0;28/12/2021;AVENIDA DO RIO BONITO, NUM 2005, , SOCORRO, 04776-003, SAO PAULO
Praça Isaí Leiner;-46.741439999999955;-23.577449999999942;90400888;785;8;BANCO SANTANDER (BRASIL) S.A.;Banco Múltiplo;658.0;001 0658 JARDIM BONFIGLIOLI-SP;PRACA ISAI LEIRNER;;0167;JD. BONFIGLIOLI;05592-140;3550308;SAO PAULO;SP;31/08/2006;11.0;37321400.0;28/12/2021;PRACA ISAI LEIRNER, , JD. BONFIGLIOLI, 05592-140, SAO PAULO
