"CnpjBase","CnpjSequencial","CnpjDv","NomeIf","Segmento","CodigoCompe","NomeAgencia","Endereco","Numero","Complemento","Bairro","Cep","MunicipioIbge","Municipio","UF","DataInicio","DDD","Telefone","Posicao"
90400888,1580,13,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","03964","AV IBIRAPUERA-SP-SP","AVENIDA IBIRAPUERA, 2210","","","INDIANOPOLIS","04028-001",3550308,"SAO PAULO","SP","30/04/2009","11","519030","28/12/2021"
90400888,1583,66,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","03633","AV PACAEMBU-SP","PCA. CHARLES MULLER,108","","","PACAEMBU","01234-010",3550308,"SAO PAULO","SP","30/04/2009","11","38665700","28/12/2021"
90400888,1585,28,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","03409","AV PAULISTA-SP-SP","AV. PAULISTA, 1374 - TERREO - BELA VISTA","","","CERQUEIRA CESAR","13109-160",3550308,"SAO PAULO","SP","30/04/2009","11","31497800","28/12/2021"
90400888,1590,95,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","03563","SP-AV. 9 DE JULHO","RUA ESTADOS UNIDOS,746","","","JARDIM AMERICA","14270-000",3550308,"SAO PAULO","SP","30/04/2009","11","8705221","28/12/2021"
90400888,641,16,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","02002","001-2002 BELENZINHO II-SP-SP","RUA CAJURU, 913","","","BELENZINHO","03057-000",3550308,"SAO PAULO","SP","31/08/2006","11","27822900","28/12/2021"
90400888,1143,18,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","02113","001-2113 ALTO DA MOOCA II-CAP-SP","AVENIDA PAES DE BARROS","","","MOOCA","03115-001",3550308,"SAO PAULO","SP","31/08/2006","11","29663500","28/12/2021"
90400888,1608,59,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04784","AG. URB-SP-ALTO DE PINHEIROS","AVENIDA PEDROSO DE MORAES, 1314","","","PINHEIROS","05420-002",3550308,"SAO PAULO","SP","30/04/2009","11","38133555","28/12/2021"
90400888,1613,16,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04607","001-4607 URB-SP-AV.CONS.CARRAO","AVENIDA CONSELHEIRO CARRAO,","","","VILA CARRAO","03403-001",3550308,"SAO PAULO","SP","30/04/2009","11","22944166","28/12/2021"
90400888,975,53,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","00388","001 0388 BUTANTA","AV PROF FRANCISCO MORATO","","760 E 770","BUTANTA","05512-000",3550308,"SAO PAULO","SP","31/08/2006","11","30953460","28/12/2021"
90400888,1616,69,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04649","AG. URB-SP-AV.G.CORBISIER","AVENIDA ENG, GEORGE CORBISIER, 1151","","","JABAQUARA","04345-001",3550308,"SAO PAULO","SP","30/04/2009","11","50185250","28/12/2021"
90400888,1618,20,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04785","GUILHERME COTCHING-SP-SP","AVENIDA GUILHERME COTCHING,","","1432","VILA MARIA","02113-012",3550308,"SAO PAULO","SP","30/04/2009","11","26330000","28/12/2021"
90400888,1620,45,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04754","AG. URB-SP-AV. JURUCE","ALAMEDA DOS MARACATINS,","","LJ","INDIANOPOLIS","04089-001",3550308,"SAO PAULO","SP","30/04/2009","11","50496500","28/12/2021"
90400888,1622,7,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04729","AV MAL TITO-SP-SP","AVENIDA MARECHAL TITO,","","0701","SAO MIGUEL PAULISTA","08010-090",3550308,"SAO PAULO","SP","30/04/2009","11","20455100","28/12/2021"
60746948,9842,95,"BANCO BRADESCO S.A.","Banco Múltiplo","07526","NEXT VIII","RUA DOMINGOS SÉRGIO DOS ANJOS","","1 ANDAR, SALA 8","JARDIM SANTO ELIAS","05136-170",3550308,"SAO PAULO","SP","28/04/2021","11","39094101","28/12/2021"
90400888,1594,19,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","03938","SP-BIXIGA","RUA RUI BARBOSA, 167/181","","33066408","BELA VISTA","01326-010",3550308,"SAO PAULO","SP","30/04/2009","11","31455200","28/12/2021"
90400888,1595,8,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","03406","R RIBEIRO DE LIMA-SP-SP","RUA RIBEIRO DE LIMA,583","","","BOM RETIRO","11220-000",3550308,"SAO PAULO","SP","30/04/2009","11","32261700","28/12/2021"
90400888,1596,80,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04252","SP-HADDOCK LOBO","ALAMEDA SANTOS, 2313 E 2315","","","CERQUEIRA CESAR","14190-020",3550308,"SAO PAULO","SP","30/04/2009","11","5747655","28/12/2021"
90400888,1597,61,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04351","SP-JARDIM MARAJOARA","RUA CAPITAO MANOEL DE FREITAS NOVAES, 26","","E 30","JARDIM MARAJOARA","04663-020",3550308,"SAO PAULO","SP","30/04/2009","11","55454200","28/12/2021"
90400888,1598,42,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04445","AG. SP-JUSTICA","AVENIDA MARQUES DE SAO VICENTE, 121","","CJ. 301 E 302 - C.MILLENIUM-B CENTER BLOCO B","VARZEA DA BARRA FUNDA","01139-001",3550308,"SAO PAULO","SP","30/04/2009","11","36486200","28/12/2021"
90400888,1599,23,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04254","LGO 13 MAIO-SP-SP","AVENIDA_ADOLFO PINHEIRO, 159","","","SANTO AMARO","04733-000",3550308,"SAO PAULO","SP","30/04/2009","11","31055459","28/12/2021"
90400888,1601,82,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","03004","001-3004 SP-R. BOA VISTA","RUA BOA VISTA,","","","CENTRO","01014-001",3550308,"SAO PAULO","SP","30/04/2009","11","32925900","28/12/2021"
90400888,1604,25,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04196","AG. SP-VILA ANASTACIO","RUA CONSELHEIRO RIBAS, 316","","","VILA ANASTACIO","05093-060",3550308,"SAO PAULO","SP","30/04/2009","11","26836200","28/12/2021"
90400888,1627,11,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04723","VL MASCOTE-SP-SP","AVENIDA SANTA CATARINA,","","QD 36","VILA MASCOTE","04378-400",3550308,"SAO PAULO","SP","30/04/2009","11","56717200","28/12/2021"
90400888,1629,83,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04626","AG. URB-SP-AV.VITAL BRASIL","AVENIDA VITAL BRASIL,","","","BUTANTA","05503-000",3550308,"SAO PAULO","SP","30/04/2009","11","30939400","28/12/2021"
90400888,1630,17,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04788","AG. URB-SP-BERRINI","AVENIDA ENG. LUIZ CARLOS BERRINI, 1307","","","BROOKLIN","04571-010",3550308,"SAO PAULO","SP","30/04/2009","11","55086650","28/12/2021"
60746948,9841,4,"BANCO BRADESCO S.A.","Banco Múltiplo","06176","NEXT VII","RUA DOMINGOS SÉRGIO DOS ANJOS","","1 ANDAR, SALA 7","JARDIM SANTO ELIAS","05136-170",3550308,"SAO PAULO","SP","25/02/2021","11","39093897","28/12/2021"
90400888,1784,72,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","03940","SP-VILA MADALENA","RUA FRADIQUE COUTINHO, 1149","","","VILA MADALENA","54160-010",3550308,"SAO PAULO","SP","30/04/2009","11","1172381","28/12/2021"
90400888,1792,82,"BANCO SANTANDER (BRASIL) S.A.","Banco Múltiplo","04748","001-4748 INTERLAGOS II-SP-SP","AVENIDA NOSSA SENHORA DO SABARA,","","","VILA SANTANA","04685-006",3550308,"SAO PAULO","SP","30/04/2009","11","56132900","28/12/2021"
0,4473,31,"BANCO DO BRASIL S.A.","Banco Múltiplo","01511","EMPRESA MOOCA","R PADRE RAPOSO","","","MOOCA","03118-000",3550308,"SAO PAULO","SP","18/03/1999","11","26052333","28/12/2021"
