address;lon;lat
Rua Júlio Conceição 438, Bom Retiro, São Paulo, 01126-001;-46.64052999887639;-23.526840020682116
Avenida Amador Bueno da Veiga 1516, Penha, São Paulo, 03636-100;-46.530626371867015;-23.522210711151867
Avenida Brigadeiro Faria Lima 1461, Pinheiros, São Paulo, 01452-002;-46.69081001854073;-23.570350019061166
Rua Joaquim Floriano 666, Itaim Bibi, São Paulo, 04534-002;-46.676490039879695;-23.584999993250236
Alameda Gabriel Monteiro da Silva 2032, Pinheiros, São Paulo, 01442-001;-46.68668997785389;-23.57416998761434
Avenida Santa Marina 2618, Freguesia do Ó, São Paulo, 02732-040;-46.69456997266718;-23.50186999584635
Avenida Itaquera 8388, Itaquera, São Paulo, 08295-001;-46.456210020210705;-23.53886000511183
Avenida Professor Francisco Morato 1214, Butantã, São Paulo, 05512-100;-46.71169000990301;-23.58086000363383
Rua São Bento 465, Sé, São Paulo, 01010-001;-46.63471002440653;-23.545169985641337
Rua Joaquim Távora 505, Vila Mariana, São Paulo, 04015-001;-46.637630028015764;-23.584379983872353
Avenida Engenheiro Luís Carlos Berrini 559, Itaim Bibi, São Paulo, 04571-010;-46.69131997352994;-23.60165001526552
Rua João Brícola, Sé, São Paulo, 01014-010;-46.63396990235614;-23.545484956607908
Rua Paulo Eiró 471, Santo Amaro, São Paulo, 04752-010;-46.70805000081103;-23.6510200117021
Rua Verbo Divino, Santo Amaro, São Paulo, 04719-001;-46.700220340492734;-23.6364403034003
Rua Verbo Divino, Santo Amaro, São Paulo, 04719-001;-46.700220340492734;-23.6364403034003
Rua José Bonifácio 186, Sé, São Paulo, 01003-001;-46.63627862279269;-23.54892702506312
Avenida Brigadeiro Faria Lima, Pinheiros, São Paulo, 01451-001;-46.69171333256094;-23.569794795553598
Avenida Paulista 1450, Bela Vista, São Paulo, 01310-100;-46.65516002413591;-23.5623499953944
Avenida Nossa Senhora do Sabará 705, Campo Grande, São Paulo, 04685-002;-46.692819998922204;-23.662080016761124
Avenida Aricanduva 5555, Cidade Líder, São Paulo, 03527-000;-46.507933390203775;-23.563978626525035
Avenida Brigadeiro Faria Lima, Itaim Bibi, São Paulo, 01451-000;-46.68392745934795;-23.58310405471923
Avenida Brigadeiro Faria Lima 3064, Itaim Bibi, São Paulo, 01451-000;-46.684069962559306;-23.583290001183414
Avenida das Nações Unidas 14401, Santo Amaro, São Paulo, 04795-100;-46.70430002114935;-23.624489988956825
Avenida Celso Garcia 151, Brás, São Paulo, 03015-000;-46.61098001832653;-23.53974999559101
Rua Boa Vista 304, Sé, São Paulo, 01014-001;-46.633630016182366;-23.544869997326686
Rua Pamplona 1, Jardim Paulista, São Paulo, 01405-030;-46.656114962548294;-23.566190850324855
Alameda Franca 1203, Jardim Paulista, São Paulo, 01422-005;-46.66455001880627;-23.561210014653028
Avenida Açocê 508, Moema, São Paulo, 04075-023;-46.65602000740171;-23.60403001476267
Avenida Vereador José Diniz 3346, Campo Belo, São Paulo, 04604-006;-46.67575997611311;-23.618239980944537
Rua Conselheiro Ribas 459, Lapa, São Paulo, 05093-060;-46.721739995629406;-23.514040016342904
Avenida Paulista 1, Vila Mariana, São Paulo, 01311-000;-46.64468802638652;-23.571116564759794
Avenida Vereador Abel Ferreira 110, Água Rasa, São Paulo, 03340-000;-46.57507999174999;-23.555559983270044
Avenida São Miguel 5757, Ermelino Matarazzo, São Paulo, 08070-002;-46.478109805447936;-23.506884635808
Rua Gomes de Carvalho 1666, Itaim Bibi, São Paulo, 04547-006;-46.68836996270733;-23.595250013095907
Avenida Marechal Tito 687, São Miguel, São Paulo, 08010-090;-46.44101002553526;-23.49341001524283
Rua São Tomé, Itaim Bibi, São Paulo, 04551-080;-46.68929953154672;-23.594075990162846
Avenida Presidente Juscelino Kubitschek 1309, Itaim Bibi, São Paulo, 04543-011;-46.681699979436445;-23.590809993255334
Rua Guaiaúna 280, Penha, São Paulo, 03631-000;-46.55058999850908;-23.53045999702553
Avenida Professor Luciano Gualberto, Butantã, São Paulo, 05508-010;-46.72644348952827;-23.560967505972098
Avenida Zumkeler 171, Mandaqui, São Paulo, 02420-000;-46.63335602098001;-23.477652463350815
Rua Oscar Freire 553, Jardim Paulista, São Paulo, 01426-001;-46.66662998807925;-23.565280015377922
Avenida Raimundo Pereira de Magalhães, Jaraguá, São Paulo, 02989-095;-46.7202538583257;-23.432159965444512
Rua Dona Matilde 552, Vila Matilde, São Paulo, 03512-000;-46.52581996588307;-23.537369996093858
Avenida Conselheiro Carrão 2166, Carrão, São Paulo, 03403-002;-46.54048997282072;-23.54729002041151
Avenida Brigadeiro Faria Lima, Pinheiros, São Paulo, 01451-001;-46.69043468344513;-23.571951398953278
Avenida Paranaguá, Ermelino Matarazzo, São Paulo, 03806-000;-46.47753109762549;-23.49869413596299
Rua Doutor Veiga Filho 35, Santa Cecília, São Paulo, 01229-001;-46.65635000292974;-23.541550009297936
