CnpjBase,CnpjSequencial,CnpjDv,NomeIf,Segmento,CodigoCompe,NomeAgencia,Endereco,Numero,Complemento,Bairro,Cep,MunicipioIbge,Municipio,UF,DataInicio,DDD,Telefone,Posicao
00000000,6838,17,BANCO DO BRASIL S.A.,Banco Múltiplo,07078,ESTILO UNICAMP,"RUA BERTRAND RUSSEL, S/N - CIDADE UNIVER",,,CIDADE UNIVERSITARIA,13083-865,3509502,CAMPINAS,SP,20/11/2009,19,21229830,28/12/2021
00360305,3127,77,CAIXA ECONOMICA FEDERAL,Caixa Econômica Federal,03127,"PARQUE DO POVO, SP",AVENIDA CORONEL JOSE SOARES MARCONDES,2792,NUM 1199,VILA EUCLIDES,19013-050,3541406,PRESIDENTE PRUDENTE,SP,11/11/2005,18,2108100,28/12/2021
58160789,0120,53,BANCO SAFRA S.A.,Banco Múltiplo,00140,TATUAPE,"RUA CANTAGALO, CONJS. 501 A 505 BLOCO A",,"LOJAS 1, 2, 3, 4 E 5 DO PAVIMENTO TÉRREO",VILA GOMES CARDIM,03319-000,3550308,SAO PAULO,SP,28/03/1994,11,20956150,28/12/2021
90400888,3038,03,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,01942,001 1942 GAMA-BRASILIA-DF,"QUADRA 2 - CONJUNTO A LOTE 16, S/N",,SETOR SUL GAMA,SETOR SUL - GAMA,72415-100,5300108,BRASILIA (GAMA),DF,12/07/2018,61,3110585,28/12/2021
60701190,3090,32,ITAÚ UNIBANCO S.A.,Banco Múltiplo,07410,FORTALEZA/AV. PONTES VIEIRA,"AV. PONTES VIEIRA, 357",,,JOAQUIM TAVORA,60130-240,2304400,FORTALEZA,CE,30/08/2007,11,30034828,28/12/2021
04913711,0125,48,BANCO DO ESTADO DO PARÁ S.A.,Banco Múltiplo,00125,SENADOR JOSE PORFÍRIO,RUA MARECHAL ASSUNÇÃO,,,CENTRO,68360-000,1507805,SENADOR JOSE PORFIRIO,PA,16/07/2018,93,35561300,28/12/2021
90400888,1705,79,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,04733,001 4733 B DE CAMPOS-SJRPRETO-SP,R DEL PINTO DE TOLEDO,,,CENTRO,15010-080,3549805,SAO JOSE DO RIO PRETO,SP,30/04/2009,17,351946100,28/12/2021
58160789,0200,72,BANCO SAFRA S.A.,Banco Múltiplo,00282,DIGITAL,AVENIDA PAULISTA,1450,17º AND CONJ.175 - COND. CETENCO PLAZA TORRE NORTE,BELA VISTA,01310-930,3550308,SAO PAULO,SP,03/12/2019,11,31757575,28/12/2021
90400888,1641,70,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,04720,001 4720 URB-S.CAETANO SUL-R.SIMON,R RIO GRANDE DO SUL,,,CENTRO,09510-020,3548807,SAO CAETANO DO SUL,SP,30/04/2009,11,42239350,28/12/2021
00000000,7676,70,BANCO DO BRASIL S.A.,Banco Múltiplo,07641,EMPRESA SANTA MARIA,"R MARECHAL FLORIANO PEIXOTO, 1217",,,CENTRO,97015-371,4316907,SANTA MARIA,RS,09/03/2018,55,40033001,28/12/2021
60746948,1842,56,BANCO BRADESCO S.A.,Banco Múltiplo,01584,JUINA,"AV. MATO GROSSO, 709-N",,,EIXO COMERCIAL I,78320-000,5105150,JUINA,MT,07/06/1985,null,null,28/12/2021
90400888,3026,61,BANCO SANTANDER (BRASIL) S.A.,Banco Múltiplo,01944,001 1944 CENTRO-ITACOATIARA-AM,AV PARQUE,,,CENTRO,69100-006,1301902,ITACOATIARA,AM,23/07/2018,92,35213609,28/12/2021
00360305,3432,22,CAIXA ECONOMICA FEDERAL,Caixa Econômica Federal,03432,"ALTA FLORESTA DO OESTE, RO","PRACA CASTELO BRANCO, NUM 3902",,LOTE 01 E 02,CENTRO,76954-000,1100015,ALTA FLORESTA D'OESTE,RO,28/11/2011,69,21811400,28/12/2021
60746948,4006,41,BANCO BRADESCO S.A.,Banco Múltiplo,05280,"PENALVA, MA",RUA GETULIO VARGAS,S/N,,CENTRO,65213-000,2108306,PENALVA,MA,12/12/2011,98,33581531,28/12/2021
60746948,4497,30,BANCO BRADESCO S.A.,Banco Múltiplo,01084,"PRIME VISCONDE DE PIRAJA - URB.RIO DE JANEIRO, RJ",RUA VISCONDE DE PIRAJA,459,495/499/499A - SOBRELOJA,IPANEMA,22410-003,3304557,RIO DE JANEIRO,RJ,28/12/2007,21,25291550,28/12/2021
