codigo_distrito;ano;faixa_etaria;homens;mulheres;total
80077;2021;70 a 74;2.440;3.861;6301
80077;2021;75 e +;3.376;6.869;10245
80078;2021;00 a 04;1.037;986;2023
80078;2021;05 a 09;1.184;1.129;2313
80078;2021;10 a 14;675;662;1337
80078;2021;15 a 19;699;692;1391
80078;2021;20 a 24;836;819;1655
80078;2021;25 a 29;882;937;1819
80078;2021;30 a 34;1.191;1.262;2453
80078;2021;35 a 39;1.332;1.334;2666
80078;2021;40 a 44;1.198;1.289;2487
80078;2021;45 a 49;1.173;1.174;2347
80078;2021;50 a 54;965;903;1868
80078;2021;55 a 59;720;660;1380
80078;2021;60 a 64;529;575;1104
80078;2021;65 a 69;354;427;781
80078;2021;70 a 74;213;338;551
80078;2021;75 e +;235;465;700
80079;2021;00 a 04;940;901;1841
80079;2021;05 a 09;1.034;993;2027
80079;2021;10 a 14;869;803;1672
80079;2021;15 a 19;954;873;1827
80079;2021;20 a 24;1.075;1.042;2117
80079;2021;25 a 29;1.138;1.131;2269
80079;2021;30 a 34;1.311;1.293;2604
80079;2021;35 a 39;1.402;1.581;2983
80079;2021;40 a 44;1.312;1.551;2863
80079;2021;45 a 49;1.230;1.412;2642
80079;2021;50 a 54;1.100;1.312;2412
80079;2021;55 a 59;1.092;1.334;2426
80079;2021;60 a 64;983;1.254;2237
80079;2021;65 a 69;802;1.137;1939
80079;2021;70 a 74;614;947;1561
80079;2021;75 e +;857;1.594;2451
80080;2021;00 a 04;2.259;2.163;4422
80080;2021;05 a 09;2.466;2.364;4830
80080;2021;10 a 14;2.136;2.134;4270
80080;2021;15 a 19;2.379;2.238;4617
80080;2021;20 a 24;2.831;2.689;5520
80080;2021;25 a 29;3.049;3.057;6106
80080;2021;30 a 34;3.394;3.635;7029
80080;2021;35 a 39;3.666;4.093;7759
80080;2021;40 a 44;3.566;4.150;7716
80080;2021;45 a 49;3.325;3.941;7266
80080;2021;50 a 54;3.238;3.763;7001
80080;2021;55 a 59;3.281;3.924;7205
80080;2021;60 a 64;2.846;3.670;6516
80080;2021;65 a 69;2.249;3.103;5352
80080;2021;70 a 74;1.579;2.364;3943
80080;2021;75 e +;2.124;4.471;6595
80081;2021;00 a 04;8.133;7.761;15894
80081;2021;05 a 09;8.337;7.963;16300
80081;2021;10 a 14;7.127;6.893;14020
80081;2021;15 a 19;7.653;7.368;15021
80081;2021;20 a 24;9.191;9.116;18307
80081;2021;25 a 29;9.167;9.270;18437
80081;2021;30 a 34;9.046;9.317;18363
80081;2021;35 a 39;8.807;9.384;18191
80081;2021;40 a 44;8.173;8.911;17084
80081;2021;45 a 49;7.423;8.392;15815
80081;2021;50 a 54;6.721;7.607;14328
80081;2021;55 a 59;5.758;6.661;12419
80081;2021;60 a 64;4.732;5.741;10473
80081;2021;65 a 69;3.554;4.614;8168
80081;2021;70 a 74;2.385;3.382;5767
80081;2021;75 e +;2.509;4.416;6925
80082;2021;00 a 04;2.367;2.265;4632
80082;2021;05 a 09;2.541;2.432;4973
80082;2021;10 a 14;2.302;2.151;4453
80082;2021;15 a 19;2.350;2.274;4624
80082;2021;20 a 24;2.782;2.693;5475
80082;2021;25 a 29;3.067;3.072;6139
80082;2021;30 a 34;3.719;3.810;7529
80082;2021;35 a 39;3.973;4.303;8276
80082;2021;40 a 44;3.695;4.108;7803
80082;2021;45 a 49;3.195;3.523;6718
80082;2021;50 a 54;2.916;3.395;6311
80082;2021;55 a 59;2.812;3.565;6377
80082;2021;60 a 64;2.662;3.695;6357
80082;2021;65 a 69;2.239;3.301;5540
80082;2021;70 a 74;1.581;2.596;4177
80082;2021;75 e +;2.170;4.511;6681
80083;2021;00 a 04;5.448;5.188;10636
80083;2021;05 a 09;5.458;5.208;10666
80083;2021;10 a 14;5.597;5.474;11071
80083;2021;15 a 19;6.149;6.025;12174
80083;2021;20 a 24;6.966;7.021;13987
80083;2021;25 a 29;6.702;6.999;13701
80083;2021;30 a 34;7.331;7.287;14618
80083;2021;35 a 39;7.251;7.415;14666
80083;2021;40 a 44;6.732;7.538;14270
80083;2021;45 a 49;6.186;6.654;12840
80083;2021;50 a 54;5.093;5.663;10756
80083;2021;55 a 59;4.132;4.612;8744
80083;2021;60 a 64;3.215;3.405;6620
80083;2021;65 a 69;2.144;2.508;4652
80083;2021;70 a 74;1.387;1.791;3178
80083;2021;75 e +;1.371;2.054;3425
80084;2021;00 a 04;5.385;5.134;10519
80084;2021;05 a 09;5.422;5.173;10595
80084;2021;10 a 14;5.028;4.790;9818
80084;2021;15 a 19;5.580;5.392;10972
80084;2021;20 a 24;6.887;6.697;13584
80084;2021;25 a 29;6.755;6.730;13485
80084;2021;30 a 34;6.314;6.574;12888
80084;2021;35 a 39;6.194;6.403;12597
80084;2021;40 a 44;5.346;6.029;11375
80084;2021;45 a 49;5.000;5.684;10684
80084;2021;50 a 54;4.501;5.195;9696
80084;2021;55 a 59;3.756;4.461;8217
80084;2021;60 a 64;2.998;3.659;6657
80084;2021;65 a 69;2.210;2.892;5102
80084;2021;70 a 74;1.509;2.200;3709
80084;2021;75 e +;1.602;2.655;4257
80085;2021;00 a 04;2.464;2.360;4824
80085;2021;05 a 09;2.574;2.469;5043
80085;2021;10 a 14;2.445;2.234;4679
80085;2021;15 a 19;2.546;2.461;5007
80085;2021;20 a 24;3.151;3.036;6187
80085;2021;25 a 29;3.330;3.247;6577
80085;2021;30 a 34;3.675;3.698;7373
80085;2021;35 a 39;3.731;3.918;7649
80085;2021;40 a 44;3.342;3.739;7081
80085;2021;45 a 49;2.985;3.373;6358
80085;2021;50 a 54;2.853;3.350;6203
80085;2021;55 a 59;2.902;3.525;6427
80085;2021;60 a 64;2.686;3.369;6055
80085;2021;65 a 69;2.115;2.883;4998
80085;2021;70 a 74;1.473;2.299;3772
80085;2021;75 e +;1.944;3.776;5720
80086;2021;00 a 04;1.780;1.702;3482
80086;2021;05 a 09;1.992;1.906;3898
80086;2021;10 a 14;1.573;1.516;3089
80086;2021;15 a 19;1.633;1.453;3086
80086;2021;20 a 24;1.776;1.717;3493
80086;2021;25 a 29;1.739;1.766;3505
80086;2021;30 a 34;2.040;2.108;4148
80086;2021;35 a 39;2.339;2.456;4795
80086;2021;40 a 44;2.228;2.572;4800
80086;2021;45 a 49;2.003;2.214;4217
80086;2021;50 a 54;1.741;1.943;3684
80086;2021;55 a 59;1.552;1.932;3484
80086;2021;60 a 64;1.436;1.878;3314
80086;2021;65 a 69;1.152;1.630;2782
80086;2021;70 a 74;798;1.314;2112
80086;2021;75 e +;1.072;2.252;3324
80087;2021;00 a 04;4.621;4.396;9017
80087;2021;05 a 09;4.625;4.399;9024
80087;2021;10 a 14;4.808;4.630;9438
80087;2021;15 a 19;5.237;5.103;10340
80087;2021;20 a 24;6.303;6.204;12507
80087;2021;25 a 29;6.188;6.347;12535
80087;2021;30 a 34;6.327;6.517;12844
80087;2021;35 a 39;6.057;6.496;12553
80087;2021;40 a 44;5.400;5.939;11339
80087;2021;45 a 49;4.761;5.266;10027
80087;2021;50 a 54;4.321;4.859;9180
80087;2021;55 a 59;3.787;4.397;8184
80087;2021;60 a 64;3.097;3.892;6989
80087;2021;65 a 69;2.279;2.932;5211
80087;2021;70 a 74;1.425;2.025;3450
80087;2021;75 e +;1.371;2.271;3642
80088;2021;00 a 04;1.129;1.077;2206
80088;2021;05 a 09;1.264;1.207;2471
80088;2021;10 a 14;1.274;1.214;2488
80088;2021;15 a 19;1.212;1.200;2412
80088;2021;20 a 24;1.357;1.310;2667
80088;2021;25 a 29;1.435;1.372;2807
80088;2021;30 a 34;1.804;1.476;3280
80088;2021;35 a 39;2.093;1.825;3918
80088;2021;40 a 44;2.249;2.216;4465
80088;2021;45 a 49;2.140;2.113;4253
80088;2021;50 a 54;1.716;1.708;3424
80088;2021;55 a 59;1.487;1.607;3094
80088;2021;60 a 64;1.178;1.326;2504
80088;2021;65 a 69;872;1.046;1918
80088;2021;70 a 74;591;787;1378
80088;2021;75 e +;738;1.355;2093
80089;2021;00 a 04;3.984;3.811;7795
80089;2021;05 a 09;4.229;4.050;8279
80089;2021;10 a 14;3.467;3.414;6881
80089;2021;15 a 19;3.660;3.447;7107
80089;2021;20 a 24;4.112;4.096;8208
80089;2021;25 a 29;4.257;4.209;8466
80089;2021;30 a 34;4.750;4.785;9535
80089;2021;35 a 39;4.947;5.121;10068
80089;2021;40 a 44;4.337;4.689;9026
80089;2021;45 a 49;3.745;3.960;7705
80089;2021;50 a 54;3.259;3.637;6896
80089;2021;55 a 59;2.820;3.446;6266
80089;2021;60 a 64;2.423;3.109;5532
80089;2021;65 a 69;1.856;2.524;4380
80089;2021;70 a 74;1.222;2.006;3228
80089;2021;75 e +;1.560;3.148;4708
80090;2021;00 a 04;2.901;2.769;5670
80090;2021;05 a 09;3.213;3.064;6277
80090;2021;10 a 14;2.652;2.600;5252
80090;2021;15 a 19;2.573;2.349;4922
80090;2021;20 a 24;2.772;2.563;5335
80090;2021;25 a 29;3.227;3.279;6506
80090;2021;30 a 34;4.721;5.032;9753
80090;2021;35 a 39;6.190;6.957;13147
80090;2021;40 a 44;5.909;6.760;12669
80090;2021;45 a 49;4.651;5.400;10051
80090;2021;50 a 54;4.016;4.772;8788
80090;2021;55 a 59;3.993;5.055;9048
80090;2021;60 a 64;3.844;5.265;9109
80090;2021;65 a 69;3.402;5.020;8422
80090;2021;70 a 74;2.716;4.039;6755
80090;2021;75 e +;3.472;6.852;10324
80091;2021;00 a 04;2.898;2.771;5669
80091;2021;05 a 09;3.077;2.946;6023
80091;2021;10 a 14;2.863;2.785;5648
80091;2021;15 a 19;2.996;2.948;5944
80091;2021;20 a 24;3.630;3.497;7127
80091;2021;25 a 29;3.874;3.688;7562
80091;2021;30 a 34;4.172;4.184;8356
80091;2021;35 a 39;4.283;4.452;8735
80091;2021;40 a 44;3.942;4.377;8319
80091;2021;45 a 49;3.435;4.043;7478
80091;2021;50 a 54;3.226;3.823;7049
80091;2021;55 a 59;3.080;3.698;6778
80091;2021;60 a 64;2.687;3.496;6183
80091;2021;65 a 69;2.135;3.036;5171
80091;2021;70 a 74;1.488;2.350;3838
80091;2021;75 e +;1.929;3.707;5636
80092;2021;00 a 04;3.924;3.756;7680
80092;2021;05 a 09;4.185;4.012;8197
80092;2021;10 a 14;3.608;3.439;7047
80092;2021;15 a 19;3.662;3.491;7153
80092;2021;20 a 24;4.279;4.226;8505
80092;2021;25 a 29;4.385;4.488;8873
80092;2021;30 a 34;4.923;5.210;10133
80092;2021;35 a 39;5.119;5.394;10513
80092;2021;40 a 44;4.462;4.908;9370
80092;2021;45 a 49;3.809;4.274;8083
80092;2021;50 a 54;3.403;4.106;7509
80092;2021;55 a 59;3.239;3.978;7217
80092;2021;60 a 64;2.884;4.011;6895
80092;2021;65 a 69;2.298;3.261;5559
80092;2021;70 a 74;1.612;2.610;4222
80092;2021;75 e +;2.097;4.081;6178
80093;2021;00 a 04;2.758;2.640;5398
80093;2021;05 a 09;2.948;2.825;5773
80093;2021;10 a 14;2.688;2.657;5345
80093;2021;15 a 19;2.700;2.679;5379
80093;2021;20 a 24;3.207;3.176;6383
80093;2021;25 a 29;3.458;3.481;6939
80093;2021;30 a 34;4.209;4.104;8313
80093;2021;35 a 39;4.501;4.562;9063
80093;2021;40 a 44;4.183;4.430;8613
80093;2021;45 a 49;3.461;3.952;7413
80093;2021;50 a 54;3.203;3.709;6912
80093;2021;55 a 59;3.177;3.768;6945
80093;2021;60 a 64;2.825;3.629;6454
80093;2021;65 a 69;2.250;3.088;5338
80093;2021;70 a 74;1.636;2.445;4081
80093;2021;75 e +;2.072;4.195;6267
80094;2021;00 a 04;3.890;3.710;7600
80094;2021;05 a 09;4.219;4.024;8243
80094;2021;10 a 14;3.603;3.419;7022
80094;2021;15 a 19;3.617;3.528;7145
80094;2021;20 a 24;4.145;3.952;8097
80094;2021;25 a 29;4.252;4.332;8584
80094;2021;30 a 34;4.733;5.014;9747
80094;2021;35 a 39;5.094;5.573;10667
80094;2021;40 a 44;4.876;5.534;10410
80094;2021;45 a 49;4.212;4.855;9067
80094;2021;50 a 54;3.724;4.256;7980
80094;2021;55 a 59;3.247;3.802;7049
80094;2021;60 a 64;2.815;3.459;6274
80094;2021;65 a 69;2.218;2.995;5213
80094;2021;70 a 74;1.616;2.394;4010
80094;2021;75 e +;2.006;3.350;5356
80095;2021;00 a 04;2.533;2.419;4952
80095;2021;05 a 09;2.683;2.565;5248
80095;2021;10 a 14;2.559;2.445;5004
80095;2021;15 a 19;2.628;2.641;5269
80095;2021;20 a 24;3.067;3.077;6144
80095;2021;25 a 29;3.156;3.156;6312
80095;2021;30 a 34;3.410;3.444;6854
80095;2021;35 a 39;3.542;3.745;7287
80095;2021;40 a 44;3.262;3.643;6905
80095;2021;45 a 49;2.887;3.302;6189
80095;2021;50 a 54;2.760;3.108;5868
80095;2021;55 a 59;2.503;2.907;5410
80095;2021;60 a 64;2.109;2.613;4722
80095;2021;65 a 69;1.579;2.137;3716
80095;2021;70 a 74;1.168;1.683;2851
80095;2021;75 e +;1.350;2.423;3773
80096;2021;00 a 04;6.937;6.603;13540
80096;2021;05 a 09;6.986;6.653;13639
80096;2021;10 a 14;6.225;5.907;12132
80096;2021;15 a 19;6.493;6.323;12816
80096;2021;20 a 24;7.955;8.011;15966
80096;2021;25 a 29;7.816;8.003;15819
80096;2021;30 a 34;7.503;7.719;15222
80096;2021;35 a 39;6.849;7.209;14058
80096;2021;40 a 44;5.987;6.643;12630
80096;2021;45 a 49;5.561;6.133;11694
80096;2021;50 a 54;4.882;5.535;10417
80096;2021;55 a 59;3.910;4.617;8527
80096;2021;60 a 64;3.194;3.862;7056
80096;2021;65 a 69;2.321;2.881;5202
80096;2021;70 a 74;1.495;1.968;3463
80096;2021;75 e +;1.329;2.122;3451
