codigo_distrito;ano;faixa_etaria;homens;mulheres;total
80020;2021;45 a 49;2.938;3.332;6270
80020;2021;50 a 54;2.708;3.149;5857
80020;2021;55 a 59;2.662;3.284;5946
80020;2021;60 a 64;2.369;3.042;5411
80020;2021;65 a 69;1.887;2.612;4499
80020;2021;70 a 74;1.402;2.192;3594
80020;2021;75 e +;1.916;3.682;5598
80021;2021;00 a 04;2.644;2.529;5173
80021;2021;05 a 09;2.857;2.735;5592
80021;2021;10 a 14;2.372;2.303;4675
80021;2021;15 a 19;2.397;2.341;4738
80021;2021;20 a 24;2.748;2.807;5555
80021;2021;25 a 29;2.797;2.954;5751
80021;2021;30 a 34;3.327;3.428;6755
80021;2021;35 a 39;3.496;3.825;7321
80021;2021;40 a 44;3.317;3.655;6972
80021;2021;45 a 49;2.733;3.230;5963
80021;2021;50 a 54;2.445;2.911;5356
80021;2021;55 a 59;2.340;2.920;5260
80021;2021;60 a 64;2.128;2.816;4944
80021;2021;65 a 69;1.685;2.431;4116
80021;2021;70 a 74;1.194;1.919;3113
80021;2021;75 e +;1.550;3.127;4677
80022;2021;00 a 04;10.399;9.935;20334
80022;2021;05 a 09;10.836;10.361;21197
80022;2021;10 a 14;9.143;9.084;18227
80022;2021;15 a 19;9.519;9.277;18796
80022;2021;20 a 24;11.110;11.123;22233
80022;2021;25 a 29;11.134;11.444;22578
80022;2021;30 a 34;11.906;12.510;24416
80022;2021;35 a 39;11.924;12.832;24756
80022;2021;40 a 44;11.034;12.293;23327
80022;2021;45 a 49;9.461;10.840;20301
80022;2021;50 a 54;8.176;9.503;17679
80022;2021;55 a 59;6.575;8.268;14843
80022;2021;60 a 64;5.369;7.380;12749
80022;2021;65 a 69;4.174;5.876;10050
80022;2021;70 a 74;2.979;4.309;7288
80022;2021;75 e +;2.968;5.422;8390
80023;2021;00 a 04;6.850;6.535;13385
80023;2021;05 a 09;7.149;6.823;13972
80023;2021;10 a 14;6.255;6.035;12290
80023;2021;15 a 19;6.683;6.557;13240
80023;2021;20 a 24;8.098;7.910;16008
80023;2021;25 a 29;8.031;8.015;16046
80023;2021;30 a 34;8.301;8.563;16864
80023;2021;35 a 39;8.144;8.825;16969
80023;2021;40 a 44;7.591;8.524;16115
80023;2021;45 a 49;6.761;7.607;14368
80023;2021;50 a 54;6.110;6.981;13091
80023;2021;55 a 59;5.129;6.312;11441
80023;2021;60 a 64;4.288;5.704;9992
80023;2021;65 a 69;3.347;4.537;7884
80023;2021;70 a 74;2.384;3.447;5831
80023;2021;75 e +;2.353;3.942;6295
80024;2021;00 a 04;4.503;4.292;8795
80024;2021;05 a 09;4.664;4.446;9110
80024;2021;10 a 14;4.249;4.002;8251
80024;2021;15 a 19;4.478;4.403;8881
80024;2021;20 a 24;5.376;5.197;10573
80024;2021;25 a 29;5.409;5.492;10901
80024;2021;30 a 34;5.539;5.815;11354
80024;2021;35 a 39;5.614;6.016;11630
80024;2021;40 a 44;5.274;5.704;10978
80024;2021;45 a 49;4.625;5.102;9727
80024;2021;50 a 54;4.017;4.551;8568
80024;2021;55 a 59;3.459;4.080;7539
80024;2021;60 a 64;2.979;3.650;6629
80024;2021;65 a 69;2.355;2.926;5281
80024;2021;70 a 74;1.612;2.196;3808
80024;2021;75 e +;1.502;2.396;3898
80025;2021;00 a 04;9.221;8.797;18018
80025;2021;05 a 09;9.022;8.613;17635
80025;2021;10 a 14;8.336;8.318;16654
80025;2021;15 a 19;9.555;9.289;18844
80025;2021;20 a 24;11.258;11.219;22477
80025;2021;25 a 29;10.600;11.047;21647
80025;2021;30 a 34;9.836;10.371;20207
80025;2021;35 a 39;9.374;10.171;19545
80025;2021;40 a 44;8.276;9.492;17768
80025;2021;45 a 49;7.170;8.190;15360
80025;2021;50 a 54;6.090;7.061;13151
80025;2021;55 a 59;4.916;6.362;11278
80025;2021;60 a 64;4.055;5.557;9612
80025;2021;65 a 69;2.982;4.331;7313
80025;2021;70 a 74;1.741;2.788;4529
80025;2021;75 e +;1.310;2.524;3834
80026;2021;00 a 04;1.167;1.118;2285
80026;2021;05 a 09;1.165;1.116;2281
80026;2021;10 a 14;899;870;1769
80026;2021;15 a 19;835;867;1702
80026;2021;20 a 24;994;972;1966
80026;2021;25 a 29;1.417;1.581;2998
80026;2021;30 a 34;2.763;3.056;5819
80026;2021;35 a 39;3.190;3.433;6623
80026;2021;40 a 44;2.622;2.789;5411
80026;2021;45 a 49;2.034;2.160;4194
80026;2021;50 a 54;1.698;1.941;3639
80026;2021;55 a 59;1.736;2.107;3843
80026;2021;60 a 64;1.614;2.153;3767
80026;2021;65 a 69;1.294;2.016;3310
80026;2021;70 a 74;1.059;1.731;2790
80026;2021;75 e +;1.571;3.328;4899
80027;2021;00 a 04;3.102;2.968;6070
80027;2021;05 a 09;3.445;3.297;6742
80027;2021;10 a 14;3.124;2.934;6058
80027;2021;15 a 19;3.055;2.942;5997
80027;2021;20 a 24;3.428;3.239;6667
80027;2021;25 a 29;3.557;3.573;7130
80027;2021;30 a 34;4.125;4.250;8375
80027;2021;35 a 39;4.629;5.010;9639
80027;2021;40 a 44;4.458;5.031;9489
80027;2021;45 a 49;3.813;4.457;8270
80027;2021;50 a 54;3.525;4.079;7604
80027;2021;55 a 59;3.384;4.137;7521
80027;2021;60 a 64;3.111;4.079;7190
80027;2021;65 a 69;2.434;3.517;5951
80027;2021;70 a 74;1.747;2.658;4405
80027;2021;75 e +;2.290;4.533;6823
80028;2021;00 a 04;4.033;3.843;7876
80028;2021;05 a 09;4.209;4.011;8220
80028;2021;10 a 14;3.824;3.680;7504
80028;2021;15 a 19;4.000;3.829;7829
